Review ID,Review Content,Review Score,Review Time
813186764,"My room's hot water was not working. We requested for checking on. Engineer checked it can not be rectified. And we waited for more than 1 hr waiting hotel's procedure to change room. They always said they will call us back. But no call we received. After 1 hr , we went down and get a new room. New room's hair dryer was spoiled and it caused burnt smell all around our room. We were alr super exhausted to even tell them to change. There is no upgrade, no compensation for wasting our time. It was very bad experience. Hope it can be better next time. But the lady when we were checking in, she was very kind and helpful. 
 
 ",4.8,2024-06-01T02:46:00+07:00
812680641,"Worth it
 
 ",10.0,2024-05-31T09:00:00+07:00
812031565,"Great,  worthy 
 
 ",10.0,2024-05-31T05:56:00+07:00
811971875,"Thank you! Till our next visit, Bai.
 
 ",10.0,2024-05-31T03:52:00+07:00
811885700,"The room was spacious, nice and clean. Nice location near a mall and food places. Had a nice pool and sitting areas. We included the buffet price in our initial hotel booking and it was great. 
 
 ",10.0,2024-05-31T01:53:00+07:00
811152421,"Great stay we enjoyed our vacation stay
 
 ",10.0,2024-05-30T08:00:00+07:00
811452062,"We enjoyed our minimoon despite only hours of enjoying the room. Thank you Bai Hotel for surprising us with a delicious treat! You’re so sweet! Thank you so much! We’ll surely be back! 
 
 ",10.0,2024-05-30T02:58:00+07:00
810633177,"M
 
 ",10.0,2024-05-29T10:39:00+07:00
810439880,"The cleaning staff were talking loud on the hallway the whole morning, and even rang at our door at 10am to ask if we needed cleaning. I felt like that was very unnecessary and after being woken up by their radios and voices outside really irked me since we were trying to catch up on our sleep.  

They are listed as 4 stars, but it actually feels like a 3 star hotel, so if you can get a good price for the stay, this would be a good place, but do not expect a 4 star hotel.

The check out was really slow, they asked us to wait on the couch for someone to check our room before we can leave. We waited a good 15 mins, and went back to the reception to ask if we could leave already, and she said yes. We wasted so much time thinking that she would approach us and let us know that we’re good to go, but apparently not.
 
 ",7.2,2024-05-29T10:38:00+07:00
780277630,"We always come back to this hotel. It may be a bit far from the restaurants in malls but it’s halfway to airport so it’s good 
 
 ",9.2,2024-05-29T05:38:00+07:00
810406512,"Stayed a yr ago nice rm bath  towels etc. came a yr later 5/29/24 .no hand towels or wash cloths, very little toilet paper , no adapter for the hot water maker, towels dingy water and old. Beds are quite hard.  Two adults one child. Had to pay 600 peso for son’s breakfast. Requested more water and towels etc. disappointed with stay will not stay here again . No microwave, 2 coffee sticks that’s it.
 
 ",6.4,2024-05-29T02:02:00+07:00
810360859,"I highly recommend this place,great place to stay.
 
 ",9.2,2024-05-28T10:12:00+07:00
810334581,"had a wonderful stay in this hotel!
 
 ",10.0,2024-05-28T04:16:00+07:00
810334547,"Second time staying in this hotel & have never been disappointed!
 
 ",10.0,2024-05-28T04:15:00+07:00
810320377,"Really enjoy this vacation 
 
 ",9.6,2024-05-27T11:09:00+07:00
810265277,"Amazing Experience! 💯
 
 ",10.0,2024-05-27T07:49:00+07:00
810251051,"The facilities provided were outstanding, catering to all our needs. Overall it was a fantastic experience.
 
 ",10.0,2024-05-27T04:58:00+07:00
810295530,"Had a fun and relaxing stay in Bai. Staffs are very nice, foods are good, and amenities are enjoyable.
 
 ",10.0,2024-05-27T01:41:00+07:00
810193524,"Very accomodating staff. Clean and decent place. 
 
 ",9.6,2024-05-26T11:18:00+07:00
810169958,"The room was big enough for the 3 of us. Everything we needed was there even shaving set. Staffs were pleasant and always greets us when we encounter them. It’s a 10/10 experience. 
 
 ",8.8,2024-05-26T07:33:00+07:00
791805557,"One of my favorite hotel to boom in cebu.
 
 ",10.0,2024-05-26T07:11:00+07:00
810136708,"Me and Fiance spent a couple of nights there, it is a beautiful hotel. The pool on the roof is nice and offers a good view, could need some cleaning because of chlorine. The staff is super friendly and really helpful. The food is awesome with the hotel having different restaurants and buffet along with room service. The room is nice, big comfortable shower for a couple, room enough for bot of us and big comfortable bed. Overall a really good stay and would like to visit again
 
 ",9.6,2024-05-25T06:56:00+07:00
810012132,"I chose bai Hotel because it was walking distance from the Hall of Justice of Mandaue. It was also very near Parkmall. Breakfast buffet was great and dinner at the rooftop was sumptuous and had the best view of the city. I will definitely come back.
 
 ",10.0,2024-05-24T07:09:00+07:00
810008522,"Great hotel! 
 
 ",10.0,2024-05-24T06:13:00+07:00
810008459,"Great hotel!
 
 ",10.0,2024-05-24T06:12:00+07:00
809979575,"I had with me my mom who is a PWD. We went to the breakfast buffet only to be told there were no more seats available. We went around 7am. Anyway, we looked around and there were actually a lot of long tables that were vacant but with the reserved sign. There should be no such thing in a buffet breakfast that's included in everyone's accommodation fee. They let us sit in a very small table for two. There was four of us with three people old and one being a PWD. I was annoyed and mad. I requested again for another table to be open as I can see there are vacant ones. In the end they gave us one of the long tables. You have to really show them your bad side before they give you a good service and start tiptoeing. Disappointed. 
 
 ",6.4,2024-05-23T05:50:00+07:00
809886727,"Very clean and nice hotel
 
 ",10.0,2024-05-22T01:22:00+07:00
809801511,"The hotel's commitment to exceptional customer service shines through in every aspect of the guest experience. Throughout my stay, the staff consistently exhibited warmth, professionalism, and a genuine desire to accommodate my needs. Whether it was a friendly greeting at check-in, or prompt assistance with requests, their dedication to guest satisfaction was evident at every turn.
 
 ",10.0,2024-05-21T10:51:00+07:00
809799672,"i think you just need to improve the food in 23rd floor price does not fit its taste but overall its really great
 
 ",10.0,2024-05-21T10:27:00+07:00
809831510,"We got a free upgrade because we wanted an early check-in but the room is not available.
 
 ",8.0,2024-05-21T08:31:00+07:00
809831435,"Great 
 
 ",8.4,2024-05-21T08:26:00+07:00
808570069,"RECOMMENDABLE.
STAFF ARE RESPECTFUL AND FRIENDLY
 
 ",8.0,2024-05-20T05:50:00+07:00
808505777,"Had a good stay. No major issues. Pretty nice hotel. 
 
 ",10.0,2024-05-20T03:34:00+07:00
808390258,"Loved the pool area and the IPA / golden ale beers were great. My new favourite place to stay when I am passing through Cebu. Perfect place to relax and reasonably priced. Close to the mall too. Staff were really friendly and welcoming.
 
 ",10.0,2024-05-19T10:37:00+07:00
807520900,"Overall the experience is good.
 
 ",6.4,2024-05-19T07:53:00+07:00
807449704,"The food is great. The room is clean and the people  are amazing!
 
 ",10.0,2024-05-19T06:04:00+07:00
807854037,"This trip was quick only ten days , once again on checkin my 10 day plan changed .intial stay at the Bai was 2 days then travel but I decided to stay the whole trip .
All staff remembered me from a January trip kudos to them for a 600 room hotel.
The staff here are still super graceful and fulfil there duties professionally with the perception that they are happy u came back .happy to see some staff being promoted and duty managers  ma’am Mariciel food / beverage and Eillen Isral are on the job .this trip I must give a speak mention to Christine roof top bar senior cashier she is so welcoming and goes above and beyond .
Liezal the house keeping for foyer , outdoor areas , external toilets and keeps the facilities super clean .Ruditha  housekeeping 20 th floor  leaves the room impeccable. 
Come to the Bai for its comfort facilities, staff and price . 
Special mention once again to Mary Tagalog whom checks me in on 2 occasions and makes it a pleasure
 
 ",10.0,2024-05-19T01:58:00+07:00
806933204,"Staying at BAI to celebrate wedding anniversary
 
 ",10.0,2024-05-18T12:10:00+07:00
806819089,"Im very satisfied with my stay. The room as very clean and the bed comfy
 I enjoyed so much my night swim at the heated pool.

I'm very impressed with the breakfast  buffet. I enjoyed it  more than any other hotel buffet.

The  hotel staff
 
 ",10.0,2024-05-18T09:08:00+07:00
805986856,"Highly recommended
 
 ",10.0,2024-05-17T12:26:00+07:00
806515172,"Hotel is nice and clean.. have outstanding staff😃... The marble and grain steak restaurant was an expensive disappointment.. the staff was great tho... When I come back to Cebu I will most assuredly stay here. The pool area is great and so are the views. 
 
 ",9.2,2024-05-17T10:16:00+07:00
806089685,"Good and accommodating 
 
 ",10.0,2024-05-17T03:25:00+07:00
805466301,"Really an excellent Hotel to stay for 2-3days , super helpful and friendly Staff 👍
 
 ",10.0,2024-05-16T11:19:00+07:00
804760160,"Excellent customer service from everyone, facility, value for money and location
 
 ",10.0,2024-05-16T10:26:00+07:00
804728959,"Very Good
 
 ",8.8,2024-05-16T10:05:00+07:00
804679673,"facilities are top notch, room super clean, wifi connection very good, food was so yummy. free access to gym and swimmer pool
 
 ",10.0,2024-05-16T09:10:00+07:00
804532080,"Had a wonderful stay in this hotel. Breakfast buffet was good and filling. Staff were very friendly. Rooms were clean and comfortable. Highly recommended.
 
 ",10.0,2024-05-16T02:38:00+07:00
803804562,"Our stay with my sisters and nephews is really nice. The rooms are well maintained, complete toiletries and other kits for personal grooming and stuff.  All the staff we met are properly trained, they are all friendly and accommodating-especially the staff that accommodated us  in their bar (forgot his name though). Very nice stay overall
 
 ",9.6,2024-05-15T10:12:00+07:00
803667884,"my 6th times here and as as usual always happy and satisfied 
 
 ",9.6,2024-05-13T12:15:00+07:00
803666340,"the place is worth your money 👌
 
 ",10.0,2024-05-13T11:53:00+07:00
803657974,"Booked 3 rooms for my sisters in law w/ their husbands and they gave this hotel a thumbs up
 
 ",10.0,2024-05-13T10:15:00+07:00
803643420,"It’s the kindness and the hospitality of the staff that makes my stay a luxury. It’s amazing how respectful they are and on how they anticipate your needs. They are the heart of the company. 
 
 ",10.0,2024-05-13T07:24:00+07:00
803678270,"A very good stay @ Bai 2nd time around. Staffs all so friendly & so helpful. Difinitely we will be coming back here again next holiday.
 
 ",10.0,2024-05-13T02:43:00+07:00
803623024,"Comfortable for a few days stays in Cebu. Great breakfast and dinner buffet. Close to the shopping mall and the restaurants. Nice and helpful staff. 
 
 ",8.8,2024-05-13T02:17:00+07:00
803618844,"A very nice hotel with amazing staff. Our stay was short but very memorable.
 
 ",9.2,2024-05-13T01:06:00+07:00
803535748,"This once fabulous property (just a few short years ago) is falling under rapid disrepair under current management.  For some reason Philippino people are not only hard on things, but they apparently don’t believe in proper maintenance.  For example, the once-fabulous pool is now clouded by filthy windows surrounding.  The pool bar granite has been destroyed on the back side and very shoddily repaired.  There are many other examples of neglect.  Very depressing.
 
 ",7.6,2024-05-12T01:54:00+07:00
