Review ID,Review Content,Review Score,Review Time
Booking.com,756273795,"
 It's my 3rd time staying here. It has always been a good experience.  The service is fast, the staff is very friendly, honest and capable. They have a shuttle to the mall and some duty-free shops inside.
 The phone wasn't working well and the wifi was slow.",10.0,2023-12-28T08:31:05+07:00
Booking.com,756273804,"
 my flight was cancelled so i did not reach to your hotel on that date. my two sisters took the booking and they paid by cash.
on nov 21 your hotel took the payment  of  AED 335 and it was successfully debited to my account.
on nov 24 the hotel attendant said this payment was cancelled but until now it has not been refunded to my account.
 after service is very poor.
you should assist on how to give back my payment!!! 

i called my bank several times and they asked me of payment cancellation proof but your hotel did not provide me. the bank officer told me that your hotel received this payment as this purchase was successfully done.",1.0,2023-12-22T20:07:09+07:00
Booking.com,756273784,"
 Big spacious room nice bathroom. Great location near I.T. park
 ",10.0,2023-12-21T14:54:08+07:00
Booking.com,756273810,"
 A variety of food for the breakfast which is very delicious.
 Arrangement of Hotel transportation from the airport to the Hotel.",9.0,2023-12-20T00:56:34+07:00
Booking.com,751966847,"
 Ok location and decent price.
 I just felt the rooms need updating. Seems a bit out of date.",6.0,2023-12-19T12:03:38+07:00
Booking.com,751966812,"
 the lobby, and ambiance
 ",10.0,2023-12-19T04:40:44+07:00
Booking.com,751966808,"
 It has a nice restaurant and main hotel lounge area.
 The bathtubs are half walled off a major design problem and the waters only tepid not hot.",10.0,2023-12-18T13:27:29+07:00
Booking.com,751966830,"
 The property is good but the sink in the washroom was not draining. We reported but no one comes to fix the problem.
 The sink clogged not draning",5.0,2023-12-16T22:37:37+07:00
Booking.com,751966798,"
 
 NO HOT WATER ! VERY VERY BAD 
NOISY REPAIR WORK FROM THE ROOM NEXT DOOR A LOT OF BANGING, VERY SLOW SERVICE IN THE LOBBY RESTAURANT AREA FOR WAITER SERVICE",5.0,2023-12-16T04:00:45+07:00
Booking.com,751966799,"
 Location is good and the size of the room is large
 This property really needs a dose of makeover",8.0,2023-12-12T13:05:43+07:00
Booking.com,751966842,"
 Everything, very nice people.
 ",9.0,2023-12-09T05:55:06+07:00
Booking.com,751966896,"
 I like the lobby, spacious and good architectural design.  Their Christmas decoration was nice. The food I ordered was good and tasty but the pasta is not good.
 There was no bidet at the toilet.
The lighting of the room is quite gloomy.
Their house rule regarding the corkage of food bought outside.",6.0,2023-12-06T06:28:58+07:00
Booking.com,751966806,"
 Pretty clean and beautiful Christmas trees
 Needs a gift shop",8.0,2023-12-05T15:07:21+07:00
Booking.com,751966836,"
 The room is spacious with comfortable pillows and clean. The amenities are excellent, breakfast is very good.
 Maybe an upgrade with the bathroom although it's clean which is most important.",9.0,2023-12-04T07:56:19+07:00
Booking.com,751966892,"
 Beautiful lobby
 Toilet tank cistern was flushing all night.",6.0,2023-12-04T01:44:28+07:00
Booking.com,751966874,"
 Staff
 ",10.0,2023-12-03T08:32:12+07:00
Booking.com,746412335,"
 The staff and restaurants were great. I loved the pool
 ",8.0,2023-12-02T02:30:57+07:00
Booking.com,746412383,"
 room very good and the pool is great .I will definerly recommend ro my frienfs and relatives.
 no netflix prime video",9.0,2023-12-01T16:02:18+07:00
Booking.com,746412392,"
 Good
 Good",10.0,2023-12-01T04:18:48+07:00
Booking.com,746412354,"
 I like that it takes the classic feel of staying in a modern hotel.
 Telepehone line not working. They gave me a viber number instead. Toilet flush not working but was fixed.",8.0,2023-11-28T06:58:56+07:00
